date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:06	74406/74406	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2012:04:01%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/NG__MG_2689b-1-680x920.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/NG__MG_2689b-1-680x920.jpg	(from https://www.nightingale.world/)
09:59:06	87382/87382	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2011:36:57%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/MG_4885-680x920.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/MG_4885-680x920.jpg	(from https://www.nightingale.world/)
09:59:06	98000/98000	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:33:04%20GMT	https://www.nightingale.world/wp-content/uploads/2017/08/MG_1124b-1-680x920.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2017/08/MG_1124b-1-680x920.jpg	(from https://www.nightingale.world/)
09:59:06	49987/49987	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:26:37%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/NG_Jaguar_BarrelRollLaunch_05-scaled-e1576661061234-680x920.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/NG_Jaguar_BarrelRollLaunch_05-scaled-e1576661061234-680x920.jpg	(from https://www.nightingale.world/)
09:59:06	40042/40042	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Feb%202020%2008:12:42%20GMT	https://www.nightingale.world/news/london-inspiration-trip-by-nightingale-and-mode-unie/	C:/My%20Web%20Sites/webhost/www.nightingale.world/news/london-inspiration-trip-by-nightingale-and-mode-unie/index.html	(from https://www.nightingale.world/)
09:59:07	9052/9052	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202019%2015:01:42%20GMT	https://www.nightingale.world/wp-content/themes/nightingale/static/approach/tiles-back.png	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/themes/nightingale/static/approach/tiles-back.png	(from https://www.nightingale.world/)
09:59:07	38994/38994	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2017:15:05%20GMT	https://www.nightingale.world/projects/starbucks/	C:/My%20Web%20Sites/webhost/www.nightingale.world/projects/starbucks/index.html	(from https://www.nightingale.world/)
09:59:07	45144/45144	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2018:46:47%20GMT	https://www.nightingale.world/projects/puma/	C:/My%20Web%20Sites/webhost/www.nightingale.world/projects/puma/index.html	(from https://www.nightingale.world/)
09:59:07	46130/46130	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2019:25:35%20GMT	https://www.nightingale.world/projects/komono-marine-launch-collection/	C:/My%20Web%20Sites/webhost/www.nightingale.world/projects/komono-marine-launch-collection/index.html	(from https://www.nightingale.world/)
09:59:08	1241796/1241796	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jan%202020%2018:06:44%20GMT	https://www.nightingale.world/wp-content/themes/nightingale/static/approach/tiles-front.png	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/themes/nightingale/static/approach/tiles-front.png	(from https://www.nightingale.world/)
